t,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Roll_deg,Pitch_deg,Yaw_deg,Ax_w,Ay_w,Az_w,VelX,VelY,VelZ,PosX,PosY,PosZ,|a_body|,|a_world|
0.85,5.363,2.931,7.743,0.259,-0.25986,-0.20819,16.469,-37.051,-160.73268974399983,-4.201855082823603,-2.908200390552781,-1.5225787436339613,-3.636622831999703,-2.2793530561915403,-1.1131557308176299,-1.5816033423516616,-0.9679509038698227,-0.4502645313832054,9.864409713713233,5.332116060179849
0.86,5.286,2.792,7.772,0.259,-0.25986,-0.20819,16.447,-37.172,-160.7322100059998,-4.191047043041372,-2.8367876736256705,-1.649249120361864,-3.678533302430117,-2.307720932927797,-1.1296482220212485,-1.6183886753759626,-0.9910281131991007,-0.4615610136034179,9.805153950856662,5.3228058656346615
0.87,5.286,2.792,7.772,0.259,-0.25986,-0.20819,16.425,-37.293,-160.7317302679998,-4.1614111601736985,-2.769117193353391,-1.7941940073774707,-3.7201474140318536,-2.335412104861331,-1.1475901620950233,-1.6555901495162813,-1.014382234247714,-0.47303691522436814,9.805153950856662,5.31078949033501
0.88,5.224,2.662,7.331,0.259,-0.25986,-0.20819,16.425,-37.452,-160.7317905299998,-4.122987487387402,-2.6925059442851427,-1.9557823523703044,-3.7613772889057278,-2.3623371643041824,-1.1671479856187263,-1.6932039224053386,-1.0380056058907559,-0.4847083950805554,9.387224350147386,5.298461917481999
0.89,5.224,2.662,7.331,0.259,-0.25986,-0.20819,16.419,-37.612,-160.73173079199978,-4.072199773339269,-2.630915591244561,-2.120770188463003,-3.8020992866391206,-2.388646320216628,-1.1883556875033563,-1.7312249152717298,-1.061892069092922,-0.496591951955589,9.387224350147386,5.291709934842566
0.9,5.114,2.533,6.79,0.259,-0.25986,-0.20819,16.441,-37.82,-160.73235105399976,-4.008684827612131,-2.581866473740085,-2.276839881281088,-3.842186134915242,-2.4144649849540287,-1.2111240863161672,-1.7696467766208823,-1.0860367189424625,-0.5087031928187506,8.869790583773666,5.283898975221124
0.91,5.114,2.533,6.79,0.259,-0.25986,-0.20819,16.463,-38.024,-160.73297131599975,-3.959862803533764,-2.527607634638409,-2.432025840316785,-3.8817847629505797,-2.439741061300413,-1.235444344719335,-1.8084646242503881,-1.1104341295554665,-0.521057636265944,8.869790583773666,5.2899965468288555
0.92,4.798,2.356,6.153,0.259,-0.25986,-0.20819,16.507,-38.287,-160.73401157799978,-3.884023240949932,-2.492402721646602,-2.6202900989695634,-3.920624995360079,-2.464665088516879,-1.2616472457090306,-1.847670874203989,-1.1350807804406353,-0.5336741087230343,8.150518327075892,5.3069414982519385
0.93,4.798,2.356,6.153,0.259,-0.25986,-0.20819,16.551,-38.557,-160.73517183999974,-3.8217585052659486,-2.4510138364115264,-2.7901749898972215,-3.9588425804127385,-2.489175226880994,-1.2895489956080028,-1.8872593000081164,-1.1599725327094452,-0.5465695986791144,8.150518327075892,5.329013358315151
0.9400000000000001,4.602,2.16,5.928,0.259,-0.25986,-0.20819,16.589,-38.897,-160.73667210199972,-3.740981141948609,-2.405840521549588,-2.9464373332579146,-3.9962523918322246,-2.51323363209649,-1.319013368940582,-1.9272218239264387,-1.1851048690304102,-0.5597597323685202,7.809301377203981,5.335213348907533
0.9500000000000001,4.602,2.16,5.928,0.259,-0.25986,-0.20819,16.633000000000003,-39.238,-160.73815236399972,-3.685570020450407,-2.3551689797180213,-3.080014849786989,-4.033108092036729,-2.53678532189367,-1.349813517438452,-1.967552904846806,-1.210472722249347,-0.5732578675429046,7.809301377203981,5.349461540526972
0.96,4.975,1.796,5.928,0.259,-0.25986,-0.20819,16.672,-39.622,-160.7398726259997,-3.6528961329607266,-2.3149480702767464,-3.155475279484924,-4.069637053366336,-2.5599348025964375,-1.3813682702333012,-2.0082492753804693,-1.2360720702753114,-0.5870715502452376,7.944647569275808,5.353471674130528
0.97,4.975,1.796,5.928,0.259,-0.25986,-0.20819,16.71,-40.007,-160.7414728879997,-3.633361353324177,-2.2719866477071164,-3.2096295023348813,-4.105970666899578,-2.582654669073509,-1.41346456525665,-2.049308982049465,-1.2618986169660464,-0.6012061958978041,7.944647569275808,5.353966715758286
0.98,4.841,2.093,5.765,0.259,-0.25986,-0.20819,16.749,-40.424,-160.7428531499997,-3.622386630901509,-2.2290004085859905,-3.220136795863409,-4.142194533208594,-2.604944673159369,-1.4456659332152841,-2.0907309273815513,-1.2879480636976401,-0.6156628552299569,7.813523852910414,5.334736048698563
0.99,4.841,2.093,5.765,0.259,-0.25986,-0.20819,16.782,-40.836,-160.74433341199966,-3.6247941509092954,-2.1767615599640724,-3.208030123741469,-4.178442474717687,-2.6267122887590095,-1.4777462344526988,-2.132515352128728,-1.3142151865852303,-0.6304403175744839,7.813523852910414,5.307436367987483
1.0,4.87,2.203,5.732,0.259,-0.25986,-0.20819,16.804,-41.314,-160.7457136739997,-3.6212142018761204,-2.1231165772033695,-3.169236881334673,-4.214654616736448,-2.647943454531043,-1.5094386032660456,-2.1746618982960926,-1.3406946211305408,-0.6455347036071444,7.837469808554289,5.259741315528453
1.01,4.87,2.203,5.732,0.259,-0.25986,-0.20819,16.82,-41.786,-160.74711393599966,-3.6356353028088515,-2.0692310676589476,-3.132155687759897,-4.251010969764536,-2.6686357652076325,-1.5407601601436447,-2.217172007993738,-1.3673809787826172,-0.6609423052085808,7.837469808554289,5.2258932747198035
1.02,4.803,2.025,5.483,0.259,-0.25986,-0.20819,16.804,-42.336,-160.74793419799965,-3.640094274691512,-2.058878435667747,-3.068261483107088,-4.287411912511451,-2.68922454956431,-1.5714427749747155,-2.2600461271188523,-1.3942732242782603,-0.676656732958328,7.565231192766021,5.186857938118037
1.03,4.803,2.025,5.483,0.259,-0.25986,-0.20819,16.793,-42.885,-160.74877445999965,-3.6658206508562197,-2.0329536997951725,-3.018565838296431,-4.324070119020013,-2.7095540865622616,-1.6016284333576798,-2.3032868283090524,-1.4213687651438829,-0.6926730172919048,7.565231192766021,5.165547551797877
1.04,5.229,1.69,6.211,0.259,-0.25986,-0.20819,16.71,-43.484,-160.74861472199964,-3.705856383766535,-2.0128844470701295,-2.9491146869962903,-4.361128682857679,-2.729682931032963,-1.6311195802276428,-2.346898115137629,-1.4486655944542126,-0.7089842130941812,8.293073133645935,5.14610073467448
